,Channel_L,Channel_R,Distance_To_Tip(um),Inside_Brain,Voxel_AP,Voxel_DV,Voxel_ML,SphinxID,Acronym,Name,Certainty
0,1,2,185,True,758,350,724,670,PO,Posterior complex of the thalamus,1.0
1,3,4,205,True,758,349,725,670,PO,Posterior complex of the thalamus,1.0
2,5,6,225,True,758,347,727,670,PO,Posterior complex of the thalamus,1.0
3,7,8,245,True,758,346,728,670,PO,Posterior complex of the thalamus,1.0
4,9,10,265,True,758,344,729,670,PO,Posterior complex of the thalamus,1.0
5,11,12,285,True,758,343,731,670,PO,Posterior complex of the thalamus,1.0
6,13,14,305,True,758,341,732,670,PO,Posterior complex of the thalamus,1.0
7,15,16,325,True,758,340,734,670,PO,Posterior complex of the thalamus,0.9912536443148688
8,17,18,345,True,757,338,735,670,PO,Posterior complex of the thalamus,0.892128279883382
9,19,20,365,True,757,337,736,670,PO,Posterior complex of the thalamus,0.717201166180758
10,21,22,385,True,757,335,738,669,LP,Lateral posterior nucleus of the thalamus,0.7055393586005831
11,23,24,405,True,757,334,739,669,LP,Lateral posterior nucleus of the thalamus,0.8862973760932945
12,25,26,425,True,757,332,740,669,LP,Lateral posterior nucleus of the thalamus,0.9970845481049563
13,27,28,445,True,757,331,742,669,LP,Lateral posterior nucleus of the thalamus,1.0
14,29,30,465,True,757,329,743,669,LP,Lateral posterior nucleus of the thalamus,1.0
15,31,32,485,True,757,328,744,669,LP,Lateral posterior nucleus of the thalamus,1.0
16,33,34,505,True,757,326,746,669,LP,Lateral posterior nucleus of the thalamus,1.0
17,35,36,525,True,756,325,747,669,LP,Lateral posterior nucleus of the thalamus,1.0
18,37,38,545,True,756,323,748,669,LP,Lateral posterior nucleus of the thalamus,1.0
19,39,40,565,True,756,322,750,669,LP,Lateral posterior nucleus of the thalamus,1.0
20,41,42,585,True,756,321,751,669,LP,Lateral posterior nucleus of the thalamus,1.0
21,43,44,605,True,756,319,752,669,LP,Lateral posterior nucleus of the thalamus,1.0
